,Weat,Weates,RND,RIPA,ECT,RNSB,theta,neighbours
6,0.06742691914401391,0.5108514358468803,0.021234723975615072,0.01625208,0.8498226443474423,0.03634881051832341,0.05,50
6,0.07264947487840943,0.545635630293719,0.023165455211077306,0.01949359,0.854674181914541,0.03149642171170316,0.1,50
6,0.05515653667187071,0.40175803336274146,0.02260366203431005,0.010887164,0.8294274802217335,0.026419129767389284,0.02,100
6,0.07219932605789638,0.5492667275392014,0.02116596705459051,0.015152909,0.8645310328303034,0.04133622661254148,0.05,100
6,0.06938171533385037,0.5348716675663119,0.02287042377860174,0.019118892,0.8525473004052047,0.03764043389096723,0.1,100
6,0.061318703479391654,0.4559969046199576,0.023943697404738815,0.011789453,0.8475239277578838,0.02461853845895397,0.02,200
6,0.07803236289061308,0.59553298929743,0.021901409524668815,0.013929368,0.8618354699645292,0.040974535386782154,0.05,200
6,0.06483589782616632,0.5019463614322968,0.02208892991936146,0.018003607,0.860576370281024,0.03419475170838565,0.1,200
7,0.11466295563286617,0.7577029843419344,0.021888236384839336,0.023163037,0.5557483963307197,0.042041400852660914,0.02,50
7,0.08814460764283173,0.638148820516957,0.022365464155504087,0.028197216,0.5287653322880855,0.036812901444769286,0.05,50
7,0.09163436970076863,0.727782728305718,0.023742966054158557,0.02893771,0.506522183832439,0.045657796263998206,0.1,50
7,0.11108623996116684,0.6775796700405367,0.021956193565076554,0.022851722,0.5632587134765116,0.033543759595896415,0.02,100
7,0.0844514757513536,0.5785101547570026,0.021275345158285636,0.02548597,0.579869090430294,0.043837802064922216,0.05,100
7,0.09105927693565716,0.7074029474220659,0.023598562065293094,0.02796588,0.5314674791943703,0.045249558678793,0.1,100
7,0.09865731616034641,0.6282408968531349,0.022239475398549136,0.02087286,0.5472058674241799,0.028580384555128596,0.02,200
7,0.08492981605791852,0.5788653825306203,0.02131854598837204,0.025784517,0.5874837017512796,0.05068357364832938,0.05,200
7,0.08724304305602025,0.6438952627421489,0.022898364430417695,0.027064964,0.5369087716339751,0.044753424168674,0.1,200
8,0.04745251552995312,0.4232283741387704,0.007474953751668675,0.010935291,0.7969028053126316,0.028268624965834637,0.02,50
8,0.05031428837851623,0.41470251722173485,0.010170715031578376,0.013141372,0.8339983990674474,0.029363012094893715,0.05,50
8,0.06133099406686511,0.4857844583317633,0.0126719799786088,0.016475027,0.8371808439511358,0.026936835735768713,0.1,50
8,0.04358378789154053,0.39736093010638623,0.007972430668063525,0.009803222,0.8478885041137113,0.028060494967715437,0.02,100
8,0.04040469518610075,0.3201315196609843,0.009789532410705747,0.01300401,0.8221562263801573,0.026834902644852863,0.05,100
8,0.05916425065709868,0.459232760637925,0.012416696065877586,0.016512854,0.8669060662688177,0.024098201154942902,0.1,100
8,0.0367468458671414,0.3814456113214501,0.008396664528031188,0.010814761,0.7807113111880014,0.029309043911027677,0.02,200
8,0.042028068622552685,0.36052392710513953,0.009238270823414536,0.012723736,0.739043479250591,0.03392128486836951,0.05,200
8,0.050731683781684585,0.38335908484156406,0.01129648929005924,0.014879254,0.8222296602199535,0.027478785372203322,0.1,200
9,0.10701551351756569,0.5469833805599824,0.021813216207507174,0.0155627625,0.6911053430248278,0.03588535071689062,0.02,50
9,0.1135616024893467,0.6372058626271448,0.023216536622912388,0.015644604,0.7544123492667133,0.04176437335146337,0.05,50
9,0.10196381652457834,0.6065149903397138,0.022136160238249065,0.013513434,0.7491177490397161,0.03758798677420707,0.1,50
9,0.11088562255843082,0.5493712578343793,0.02299361717680087,0.016902793,0.7439498373346679,0.027541064924734234,0.02,100
9,0.11245279038690809,0.605101708397099,0.022476425328594746,0.015367698,0.757306776241761,0.04260368593221137,0.05,100
9,0.10626548686923029,0.6400865163918921,0.021614110630703797,0.01455067,0.745638639366836,0.04382808263857777,0.1,100
9,0.0916730044062323,0.5042940512661066,0.020708803151516877,0.012683794,0.7200490855930308,0.02839921579624607,0.02,200
9,0.10918963703867887,0.5815394779978506,0.02289925767320204,0.015453727,0.7587357856278255,0.0364716766610923,0.05,200
9,0.10776968442893968,0.6357848252249555,0.02214352342434238,0.014645322,0.7583892739881654,0.04409138805852496,0.1,200
